No.,Project Name,City,Location,Status / Badge,Starting Price,Price/Sqm,Bed,Bath,Floor Area,Size,Type,Developer Name,Total Floor,Building Height,Total Unit,Unit Sold,Sold Rate,Completion Timeline,Image,Property Details,Description,Highlight ,Image URL,Website URL,Card Line 1,Card Line 2,Card Line 3,Developer Nationality,Badge Developer Flag,Badge Investment Scheme,Card Highlights (3),Modal Highlights (USP 5-7),Google Map Link,lat,lng,agentName,agentPhone,agentEmail,lastUpdated
1,Time Square 7,Phnom Penh,Toul Kork ,Under Construction,"$82,575","$2,064",1 to 4,,30 to 120 sqm,,Condo,MegaKim World Corp Ltd,49F,,700,,85%~,Q3 2028,TS7 Main.jpg,"A soaring 49-floor architectural icon in the premier Boeung Kak 1 enclave, delivered by the prestigious MegaKim World Corp following a legacy of sold-out successes,. This project is masterfully engineered for capital appreciation, tapping into the intense rental demand from the city’s growing executive class. With a proven track record of high-yield delivery, it offers a sophisticated entry into one of Phnom Penh’s most established and coveted residential districts.","Toul Kork high-rise with strong expat and local rental demand, designed for flexible cashflow entry and long-term appreciation.",49-Storey Landmark | Full Lifestyle Amenity Floors | Prime Toul Kork (Boeung Kak 1) Location | Unit Mix: 1–4 Bedroom Duplexes & Penthouses,"https://img.ips-cambodia.com/2025/10/6/1/1-51-28-0.62-wtr-Time-Square-7-24.jpg, https://img.ips-cambodia.com/2025/10/6/1/1-51-28-0.85-wtr-Time-Square-7-Phnom-Penh-Cambodia-05.jpg",https://www.realestate.com.kh/new-developments/time-square-7/,Time Square 7,"From $82,575 | Toul Kork (Boeung Kak 1), Phnom Penh | MegaKim World Corp Ltd",Completion: Q3 2028 | Sold: 85%~,Taiwan,,,Toul Kork rental hotspot | Full lifestyle amenity floors | Developer track record,"Toul Kork rental hotspot | Full lifestyle amenity floors | Developer track record | Location advantage: Toul Kork (Boeung Kak 1), Phnom Penh | Unit mix: 1 to 4 Bedrooms, Duplex 1 to 4 Bedrooms, Penthouse | Planned handover: Q3 2028 | Entry price from $82,575",https://maps.app.goo.gl/wWsWw1Ea2EwaSdXm6,11.583333,104.894424,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
2,Time Square 8,Phnom Penh,TTP (Russian Market area),Under Construction,"$86,175","$1,834",1 to 4,,35 to 173 sqm,,Condo,MegaKim World Corp Ltd,50F,,700,,85%~,Q4 2028,TS8 Main.jpg,"Time Square 8 stands as a 50-storey luxury masterpiece in the vibrant Toul Tom Poung corridor, serving as the area's premier vertical residence. Developed by the multi-award-winning MegaKim World Corp, it targets high-turnover rental demand from young professionals and expatriates seeking an urban sanctuary. Its strategic proximity to the city's diplomatic and business centres ensures enduring value and competitive yields for discerning investors.","Russian Market area project targeting high rental turnover from expats and young professionals, with practical layouts and strong amenity stack.",50-Storey Tower | Rooftop Infinity Pool & Designer Gym | Walkable Lifestyle Hub | Unit Mix: 1–4 Bedroom Duplexes & Penthouses,https://img.ips-cambodia.com/2025/10/6/1/1-48-2-0.66-wtr-Time-Square-8-Phnom-Penh-Cambodia.jpg,https://www.realestate.com.kh/new-developments/time-square-8/,Time Square 8,"From $86,175 | Toul Tom Poung 1 (Russian Market area), Phnom Penh | MegaKim World Corp Ltd",Completion: Q4 2028 | Sold: 85%~,Taiwan,,,Walkable lifestyle area | Entry price vs BKK1 gap | Strong amenity floors,"Walkable lifestyle area | Entry price vs BKK1 gap | Strong amenity floors | Location advantage: Toul Tom Poung 1 (Russian Market area), Phnom Penh | Unit mix: 1 to 4 Bedrooms, Duplex 1 to 4 Bedrooms, Penthouse | Planned handover: Q4 2028 | Entry price from $86,175",https://maps.app.goo.gl/tHNh3fzZ8n8nkRFx8,11.543562,104.918545,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
3,Time Square 9,Phnom Penh,BKK1 (Street 278),Pre Sale,"$87,984","$2,933",1 to 4,,40 to 130 sqm,,Condo,MegaKim World Corp Ltd,40F,,600,,55%~,Q4 2029,TS9 Main.png,"An Art Deco-inspired masterpiece set within the city’s most exclusive residential enclave, BKK1, the tightest core rental market in Phnom Penh,. Positioned on Street 278, this 40-storey tower is meticulously engineered for premium executive rentals and substantial capital growth. Offering rare strata-title eligibility in a gold-standard district, it represents the pinnacle of luxury investment for those seeking a prestigious and secure asset.",Prime BKK1 Art Deco themed tower positioned for premium executive rentals and capital growth in Phnom Penh’s tightest core district.,40-Storey Art Deco Design | Competitive BKK1 Entry Point | Strata Title Eligibility | Prime Street 278 Address,"https://img.ips-cambodia.com/2025/12/22/1/1-58-38-0.07-wtr-Scene-235(2)_effect-copy.jpg, https://img.ips-cambodia.com/2025/12/22/1/1-58-39-0.86-wtr-2.jpg",https://www.realestate.com.kh/new-developments/time-square-9-bkk1/,Time Square 9,"From $87,984 | BKK1 (Street 278), Phnom Penh | MegaKim World Corp Ltd",Completion: Q4 2029 | Sold: TBC,Taiwan,,,BKK1 prime address | Competitive entry for BKK1 | Strata title eligible,"BKK1 prime address | Competitive entry for BKK1 | Strata title eligible | Location advantage: BKK1 (Street 278), Phnom Penh | Unit mix: 1 to 4 Bedrooms | Planned handover: Q4 2029 | Entry price from $87,984",https://maps.app.goo.gl/YkDnM7HGtS94dRNc9,11.555343,104.925696,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
4,Time Square 10,Sihanoukville,Otres Beach,Under Construction,"$50,000","$1,667",1 to 4,,36 to 300 sqm,,Condo,MegaKim World Corp Ltd,39F,,1300,,70%~,Q1 2030,TS10 Main.png,"Capitalise on the rapid transformation of Sihanoukville with this 39-storey beachfront masterpiece by the esteemed MegaKim World Corp. Specifically engineered to capture premium holiday rental demand, it is situated near the pristine Otres Beach 1 in a high-growth coastal corridor. As regional infrastructure matures, this development offers investors a significant early-mover advantage and long-term capital appreciation in Cambodia’s premier seaside destination.","Beachfront lifestyle investment near Otres Beach, designed for holiday demand and long-term coastal growth as infrastructure expands.",39-Storey Oceanfront Landmark | Otres Beach Front | Large Unit Mix: 1 to 4 Bedrooms & Penthouses | High-Growth Coastal Opportunity,https://img.ips-cambodia.com/2025/10/6/1/1-37-47-0.37-wtr-TS10-Building-01.jpg,https://www.realestate.com.kh/new-developments/time-square-10-sihanouk-ville-oceanfront/,Time Square 10,"From $50,000 | Otres Beach 1, Sihanoukville | MegaKim World Corp Ltd",Completion: TBC 2029 | Sold: 70%~,Taiwan,,,Otres beachfront location | Entry price from $1 | 200/sqm,"Otres beachfront location | Entry price from $1 | 200/sqm | Large unit mix to penthouse | Location advantage: Otres Beach 1, Sihanoukville | Unit mix: 1 to 4 Bedrooms, Penthouse | Planned handover: TBC 2029",https://maps.app.goo.gl/heuanY6zms5uwACz5,10.583908,103.543798,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
5,Kingston Royale,Phnom Penh,Boeung Tompun,Under Construction,"$48,960","$1,632",1 to 2,,43 to 67 sqm,,Condo,"KR Kingston Royale Co., Ltd",36F,,310,,35%~,Q4 2027,Kingstone Royale Main.jpeg,"Kingston Royale represents a strategic investment in the rapidly developing Boeung Tompun zone, perfectly positioned near the high-demand Russian Market corridor. This 36-storey development offers rare freehold ownership and is meticulously designed to serve the city’s growing middle-class and stable local rental market. With an accessible entry point and a robust amenity stack, it provides an exceptional opportunity for investors seeking early upside and consistent long-term yields.","Affordable entry near the Russian Market corridor, built for stable local rental demand and early upside in a fast-developing zone.",Strong amenity stack 36-Storey | Affordable entry | Modern Development | Easy access to the airport | Unit Mix: 1 to 2 Bedrooms,https://img.ips-cambodia.com/2025/10/6/1/1-38-48-0.52-wtr-Kingston-Royale-Phnom-Penh-Cambodia.jpg,https://www.realestate.com.kh/new-developments/kingston-royale/,Kingston Royale,"From $48,960 | Boeung Tompun (Khan Meanchey), Phnom Penh | KR Kingston Royale Co., Ltd",Completion: Q4 2027 | Sold: TBC,Cambodia,,,Affordable entry | Freehold ownership | Strong amenity stack,"Affordable entry | Freehold ownership | Strong amenity stack | Location advantage: Boeung Tompun (Khan Meanchey), Phnom Penh | Unit mix: 1 to 2 Bedrooms | Planned handover: Q4 2027 | Entry price from $48,960",https://maps.app.goo.gl/v2fPknPbaW4T7jF68,11.525536,104.918723,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
6,Le Conde,Phnom Penh,BKK1,Move In Ready,"$94,538","$3,151",Studio to 3,,"37 to 1,068 sqm",,Condo,"WANG FU GUO JI PROPERTY DEVELOPMENT CO., LTD",43F,,1080,,84%~,Q4 2025,Le Conde Main.jpg,"Redefining urban elegance in the heart of BKK1, Le Conde is a move-in ready smart luxury tower designed for diplomats and global executives,. Investors are secured by a prestigious 8% Guaranteed Rental Return for 3 years, providing an immediate and hands-off income stream. This flagship residence integrates advanced home automation with world-class facilities to ensure enduring value in the city’s most elite district.","Smart luxury tower in BKK1, positioned for premium rentals from embassies, executives, and long-stay expats.",43-Storey Smart Tower | 8% GRR for 3 Years | Integrated Smart Home Systems | BKK1 Core Location | Ready to move in,https://www.leconde.com/,https://www.realestate.com.kh/new-developments/le-conde-bkk1/,Le Conde,"From $94,538 | BKK1, Phnom Penh | Wangfu International Real Estate Development Co., Ltd",Completion: Q4 2025 | Sold: 84%~,Hong Kong,,Guaranteed Rental Return (8% x 3Y) ,BKK1 core | Smart home concept | Near handover advantage,"BKK1 core | Smart home concept | Near handover advantage | Location advantage: BKK1, Phnom Penh | Unit mix: Studio to Penthouse | Planned handover: Q4 2025 | Entry price from $94,538",https://maps.app.goo.gl/JVPtuc4pJaM3662b6,11.549363,104.925039,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
7,J Tower 3,Phnom Penh,Tonle Bassac,Under Construction,"$330,000","$11,000",3,,166 to 178 sqm,,Condo,"Tanichu Assetment Co., Ltd",77F,,360,,70%~,Q4 2028,J Tower 3 Main.jpg,"An iconic 77-storey skyline landmark that sets a new global benchmark for ultra-luxury, built to the rigorous standards of Japanese engineering,. To maintain the highest level of exclusivity and rental yields, the project features only expansive 3-bedroom layouts and palatial penthouses. Positioned as one of the tallest towers in the region, it is the ultimate trophy asset for investors seeking Japanese quality and unmatched prestige.","Japanese developer flagship with limited unit mix, suited for high-end owner-occupiers and top-tier rental demand in central Phnom Penh.",77-Storey Skyline Landmark | Japanese Construction Standards | Exclusively Large 3-Bedroom Layouts | Premium Tonle Bassac Location,https://img.ips-cambodia.com/2025/10/8/8/8-32-1-0.37-wtr-JTower-3-Phnom-Penh.jpg,https://www.realestate.com.kh/new-developments/j-tower-3-condominium/,J Tower 3,"From $363,000 | Tonle Bassac, Phnom Penh | Tanichu Assetment Co., Ltd",Completion: Q4 2028 | Sold: 70%~,Japan,,,Japanese standard | All large 3BR layouts | Iconic skyline landmark,"Japanese standard | All large 3BR layouts | Iconic skyline landmark | Location advantage: Tonle Bassac, Phnom Penh | Unit mix: 3 Bedroom only, Penthouse | Planned handover: Q4 2028 | Entry price from $363,000",https://maps.app.goo.gl/irkPF5oymjUCYWRM6,11.543466,104.923514,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
8,Odom Tower,Phnom Penh,Tonle Bassac (Norodom Blvd),Under Construction,"$224,335","$7,478",,,50 to 360 sqm,,Commercial,Urban Living Solutions (ULS),45F,,,,50%~,Q1 2027,ODOM Main.jpg,"A high-visibility mixed-use icon on the legendary Norodom Boulevard, designed by Urban Living Solutions to meet the demand for Grade-A space,. The commercial tower offers an attractive 8% Guaranteed Rental Return for 5 years, while the residential component provides exclusive freehold living in a corridor with limited supply. This architectural landmark is the definitive choice for those seeking prime visibility and institutional-grade yields.",Norodom Boulevard commercial component designed for office and retail demand in the city’s strongest central corridor.,Norodom Blvd Prime Visibility | Grade-A Office & Retail Spaces | 8% Commercial GRR for 5 Years | Mixed-Use Lifestyle Podium,https://img.ips-cambodia.com/2025/10/8/7/7-36-41-0.70-wtr-1O8A3125.jpg,https://www.realestate.com.kh/new-developments/odom-tower/,Odom Tower,"From $224,335 | Tonle Bassac (Norodom Blvd), Phnom Penh | Urban Living Solutions (ULS)",Completion: Q1 2027 | Sold: 50%~,Cambodia,,Guaranteed Rental Return (8% x 5Y) ,Prime Norodom Blvd | Office and retail mix | Central visibility,"Prime Norodom Blvd | Office and retail mix | Central visibility | Location advantage: Tonle Bassac (Norodom Blvd), Phnom Penh | Unit mix: Commercial, Office, Retail | Planned handover: Q1 2027 | Entry price from $224,335",https://maps.app.goo.gl/1nrV8269rAyyAYhS8,11.549050,104.929047,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
9,Odom Living,Phnom Penh,Tonle Bassac (Norodom Blvd),Under Construction,"$275,000","$9,167",1 to 4,,78 to 265 sqm,,Condo,Urban Living Solutions (ULS),30F,,138,,50%~,Q1 2027,Odom Living Main.jpg,"Exclusive freehold residences situated on Norodom Boulevard, offering investors long-term capital protection in a corridor with extremely limited residential supply. Part of a high-visibility mixed-use ecosystem, the project appeals strongly to high-net-worth individuals and premium tenants seeking central prestige. With a focus on high-end lifestyle podiums and urban connectivity, it is positioned for significant value appreciation as the city core continues to densify.","Central Norodom Boulevard living with limited supply and strong end-user appeal, supported by a high-visibility mixed-use ecosystem.",Prime corridor location | Freehold ownership | Mixed-use lifestyle podium | Location advantage: Tonle Bassac (Norodom Blvd) | Unit mix: 1 to 4 Bedrooms,https://img.ips-cambodia.com/2025/10/8/7/7-36-41-0.06-wtr-office-V22.jpg,https://www.realestate.com.kh/new-developments/odom-living/,Odom Living,"From $275,000 | Tonle Bassac (Norodom Blvd), Phnom Penh | Urban Living Solutions (ULS)",Completion: Q1 2027 | Sold: 50%~,Cambodia,,,Prime corridor | Freehold | Mixed-use lifestyle podium,"Prime corridor | Freehold | Mixed-use lifestyle podium | Location advantage: Tonle Bassac (Norodom Blvd), Phnom Penh | Unit mix: 1 to 4 Bedrooms | Planned handover: Q1 2027 | Entry price from $275,000",https://maps.app.goo.gl/1nrV8269rAyyAYhS8,11.549050,104.929047,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
10,UC88 Wyndham Garden,Phnom Penh,BKK1,Under Construction,"$75,000","$2,500",Studio to 4,,45 to 630 sqm,,Condo,"Chhun Sambath Development Co., Ltd",46F,,438,,55%~,Q3 2026,UC88 Main.jpeg,"A prestigious Wyndham-branded residence offering a high-performance investment model managed by a global hospitality leader,. Located in the diplomatic heart of BKK1, it provides a stable 6% Guaranteed Rental Return for 10 years, tapping into consistent international business demand. This development offers a rare fusion of global brand heritage and professional hotel management for the passive, high-net-worth investor.",Wyndham branded residence in BKK1 designed for hands-off ownership and steady demand from business and diplomatic tenants.,46-Storey Branded Residence | 6% GRR for 10 Years | Professional Hotel Management | Strategic BKK1 Location,https://cambodiacondoforsale.com/properties/phnom-penh/uc88-wyndham-garden-bkk1/,https://www.realestate.com.kh/new-developments/uc88-wyndham-garden-bkk1/,UC88 Wyndham Garden,"From $75,000 | BKK1, Phnom Penh | Chhun Sambath Development Co., Ltd",Completion: Q3 2026,Cambodia,,Guaranteed Rental Return (6% x 10Y) ,BKK1 location | Hotel management model | Wide unit mix,"BKK1 location | Hotel management model | Wide unit mix | Location advantage: BKK1, Phnom Penh | Unit mix: Studio to 4 Bedrooms | Planned handover: Q3 2026 | Entry price from $75,000",https://maps.app.goo.gl/7m875HQtKHPmreem7,11.550519,104.922347,Nick,+855 12 345 678,nick@property.com,2026-01-22 0:00:00
